,x,y,cell_id,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3,u,var,sd,IoD,CoV,level of impact,level of uncertainity,distance in miles,Address
0,-2.2655402,53.4204534,6.50452914490822e+18,22,1,1,0,4,1.5,3.0,1.73205080756888,2.0,1.15470053837925,higher impacted area,highest uncertainity,1.576553519519205,"Woodlake Avenue, Northern Moor, Manchester, Greater Manchester, England, M21 7PQ, United Kingdom"
1,-2.2655963,53.4294419,8.68560051705832e+18,38,1,0,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,moderately impacted area,moderate uncertainity,2.078927722213863,"Barlow Terrace, Manchester, Greater Manchester, England, M21 7QF, United Kingdom"
2,-2.1063691,53.5510339,8.502172581031053e+18,131,0,1,0,0,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,15.780313916742926,"Wimpole Street, Higginshaw, Royton, Oldham, Greater Manchester, England, OL1 3JL, United Kingdom"
3,-2.2641192,53.4339394,-5.530161610118377e+16,54,0,0,0,1,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,2.3995729478963104,"Nell Lane, Chorlton-cum-Hardy, Manchester, Greater Manchester, England, M21 7SN, United Kingdom"
4,-2.2641527,53.4393324,-1.7991295053414218e+18,68,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,moderately impacted area,moderate uncertainity,2.7313448046827298,"66, Egerton Road South, Chorlton-cum-Hardy, Manchester, Greater Manchester, England, M21 0XJ, United Kingdom"
5,-2.1048286,53.5384515,-5.963323687293025e+18,201,0,1,0,0,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,15.318018518335995,"Picton Square, Mumps, Chadderton, Oldham, Greater Manchester, England, OL4 1XG, United Kingdom"
6,-2.2625364,53.4213589,-5.441153801290022e+18,93,3,6,2,3,3.5,3.0,1.73205080756888,0.857142857142857,0.494871659305394,highest contaminated zone,moderate uncertainity,1.7650543247208461,"Brandwood Avenue, West Didsbury, Manchester, Greater Manchester, England, M21 7PP, United Kingdom"
7,-2.2625531,53.4240555,-5.944133414741827e+18,35,2,2,1,4,2.25,1.58333333333333,1.25830573921179,0.703703703703704,0.559246995205241,highest contaminated zone,moderate uncertainity,1.899551902425128,"Ennerdale Avenue, West Didsbury, Manchester, Greater Manchester, England, M21 7NR, United Kingdom"
8,-2.2626418,53.4384369,-5.608213471952672e+18,68,0,0,1,0,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,2.721703675316082,"Fallowfield Loop, Chorlton-cum-Hardy, Manchester, Greater Manchester, England, M21 0YW, United Kingdom"
9,-2.262664,53.4420323,-6.104919003042739e+18,74,1,0,2,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845,higher impacted area,highest uncertainity,2.9437400271696545,"11, White Moss Avenue, Whalley Range, Manchester, Greater Manchester, England, M21 0XR, United Kingdom"
10,-2.2627028,53.4483242,6.055082251658565e+17,46,0,0,0,1,0.25,0.25,0.5,1.0,2.0,slightly impacted area,highest uncertainity,3.3411839510710655,"3, Burford Walk, Whalley Range, Manchester, Greater Manchester, England, M16 8EN, United Kingdom"
11,-2.2610152,53.4186657,5.17394474541024e+18,41,2,2,1,0,1.25,0.916666666666667,0.957427107756338,0.733333333333333,0.765941686205071,higher impacted area,moderate uncertainity,1.7218790396868615,"Princess Road, Northenden, Manchester, Greater Manchester, England, M21 7PX, United Kingdom"
12,-2.2610427,53.4231599,-9.773430155361206e+16,25,2,0,1,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845,higher impacted area,highest uncertainity,1.9259011232091487,"Kagyu Ling Buddhist Centre, 45, Manor Drive, West Didsbury, Manchester, Greater Manchester, England, M21 7QG, United Kingdom"
13,-2.2595106,53.418669,1.878073865649756e+18,87,2,3,2,0,1.75,1.58333333333333,1.25830573921179,0.904761904761905,0.719031850978167,higher impacted area,moderate uncertainity,1.8054069829937738,"Penroy Avenue, Northenden, Manchester, Greater Manchester, England, M20 2ZH, United Kingdom"
14,-2.259516,53.4195678,-6.359262275304227e+18,51,4,1,2,2,2.25,1.58333333333333,1.25830573921179,0.703703703703704,0.559246995205241,highest contaminated zone,moderate uncertainity,1.8419824867981698,"Mersey Crescent, West Didsbury, Manchester, Greater Manchester, England, M20 2ZG, United Kingdom"
15,-2.2595928,53.4321516,-3.1864631728776515e+18,34,1,0,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,moderately impacted area,moderate uncertainity,2.46356000435388,"Arrowfield Road, Arrowfield Estate, West Didsbury, Manchester, Greater Manchester, England, M21 7RQ, United Kingdom"
16,-2.2595982,53.4330505,4.728380058564738e+18,114,2,0,2,2,1.5,1.0,1.0,0.666666666666667,0.666666666666667,higher impacted area,moderate uncertainity,2.513580257999253,"Foxbench Walk, Arrowfield Estate, West Didsbury, Manchester, Greater Manchester, England, M21 7RQ, United Kingdom"
17,-2.2596037,53.4339493,-4.3474295811440113e+18,84,1,2,3,0,1.5,1.66666666666667,1.29099444873581,1.11111111111111,0.86066296582387,higher impacted area,highest uncertainity,2.5641172451777114,"Cressfield Way, Arrowfield Estate, Chorlton-cum-Hardy, Manchester, Greater Manchester, England, M21 7RW, United Kingdom"
18,-2.2596311,53.4384435,2.4867367121520686e+18,53,0,0,1,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925,moderately impacted area,moderate uncertainity,2.823714087231348,"Chelsfield Grove, Whalley Range, Manchester, Greater Manchester, England, M21 7BD, United Kingdom"
