,x,y,u,cell_id,CoV,infected_DM_3,IoD,infected_DM_0,population,sd,var,infected_DM_2,infected_DM_1,level of impact,level of uncertainity,distance in miles
0,-2.2757994,53.3781838,0.25,2145250552420976000,2.0,0,1.0,0,58,0.5,0.25,1,0,slightly impacted area,highest uncertainity,1.7754324618623967
1,-2.2878371,53.3799531,0.25,560262372630620900,2.0,0,1.0,1,33,0.5,0.25,0,0,slightly impacted area,highest uncertainity,1.6927775558601625
2,-2.2878492,53.3817508,0.25,-4465850386942914000,2.0,0,1.0,1,84,0.5,0.25,0,0,slightly impacted area,highest uncertainity,1.5746619083303601
3,-2.2758227,53.3817792,0.25,-9196684365274498000,2.0,0,1.0,0,78,0.5,0.25,1,0,slightly impacted area,highest uncertainity,1.532224203987298
4,-2.2743194,53.3817827,0.25,4921747799801836000,2.0,1,1.0,0,128,0.5,0.25,0,0,slightly impacted area,highest uncertainity,1.558312829071677
5,-2.2878553,53.3826496,0.25,7936991242016606000,2.0,0,1.0,0,57,0.5,0.25,1,0,slightly impacted area,highest uncertainity,1.5159678937683287
6,-2.2863519,53.3826532,0.25,8886296984266166000,2.0,0,1.0,1,73,0.5,0.25,0,0,slightly impacted area,highest uncertainity,1.4852891303637596
7,-2.2653051,53.3827019,0.25,-6294588123162691000,2.0,0,1.0,0,71,0.5,0.25,1,0,slightly impacted area,highest uncertainity,1.7841445427836609
8,-2.2623039,53.3836074,0.5,-8530747164862957000,1.15470053837925,1,0.666666666666667,0,84,0.577350269189626,0.333333333333333,1,0,moderately impacted area,moderate uncertainity,1.8690865960194083
9,-2.2698265,53.3844895,0.25,-446317090445170900,2.0,0,1.0,0,91,0.5,0.25,1,0,slightly impacted area,highest uncertainity,1.5088638970254844
10,-2.2908804,53.3853389,0.25,-3305937180132804000,2.0,0,1.0,1,49,0.5,0.25,0,0,slightly impacted area,highest uncertainity,1.4315641265176895
11,-2.2803563,53.3853641,0.25,7240752837975761000,2.0,1,1.0,0,73,0.5,0.25,0,0,slightly impacted area,highest uncertainity,1.2468839172301074
12,-2.2743425,53.3853781,0.25,-5158204288639930000,2.0,0,1.0,1,68,0.5,0.25,0,0,slightly impacted area,highest uncertainity,1.3217110633932798
